date, pm25, pm10, o3, no2, so2, co
2020/4/18, 26, , 44, 7, 1, 1
2020/4/19, 39, , 30, 10, 1, 1
2020/4/20, 24, , 36, 13, 1, 1
2020/4/21, 30, , 35, 6, 1, 1
2020/4/22, 23, , 39, 11, 1, 1
2020/4/23, 30, , 32, 15, 1, 2
2020/4/24, 44, , 37, 13, 1, 3
2020/4/25, 46, , 33, 6, 1, 1
2020/4/26, 34, , 32, 3, 1, 
2020/4/27, 16, , 32, 7, 1, 1
2020/4/28, 25, , 29, 9, 1, 1
2020/4/29, 31, , 26, 4, 1, 1
2020/4/30, 34, , 29, 13, 1, 3
2020/5/1, 29, , 34, 8, 1, 2
2020/5/2, 29, , 42, 7, 1, 2
2020/5/3, 38, , 32, 8, 1, 1
2020/5/4, 23, , 26, 5, 1, 1
2020/5/5, 22, , 29, 7, 1, 1
2020/5/6, 24, , 34, 12, 1, 1
2020/5/7, 25, , 32, 8, 1, 2
2020/5/8, 24, , 26, 4, 1, 2
2020/5/9, 20, , 34, 7, 1, 2
2020/5/10, 26, , 35, 11, 1, 2
2020/5/11, 38, , 29, 6, 1, 2
2020/5/12, 24, , 29, 9, 1, 2
2020/5/13, 26, , 41, 12, 1, 3
2020/5/14, 32, , 42, 8, 1, 3
2020/5/15, 42, , 31, 4, 1, 2
2020/5/16, 22, , 33, 5, 1, 3
2020/5/17, 31, , 26, 8, 1, 2
2020/5/18, 36, , 27, 4, 1, 1
2020/5/19, 33, , 29, 6, 1, 1
2020/5/20, 30, , 38, 10, 1, 2
2020/5/21, 27, , 39, 7, 1, 3
2020/5/22, 39, , 32, 2, 1, 2
2020/5/23, 34, , 24, 2, 1, 1
2020/5/24, 32, , 20, 3, 1, 1
2020/5/25, 35, , 19, 9, 1, 2
2020/5/26, 28, , 28, 6, 1, 3
2020/5/27, 21, , 16, 4, 1, 2
2020/5/28, 18, , 16, 4, 1, 2
2020/5/29, 19, , 32, 4, 1, 3
2020/5/30, 16, , 24, 4, 1, 2
2020/5/31, 15, , 25, 8, 1, 2
2020/6/1, 24, , 30, 10, 1, 4
2020/6/2, 26, , 43, 11, 1, 6
2020/6/3, 44, , 40, 11, 1, 3
2020/6/4, 53, , 35, 9, 1, 1
2020/6/5, 50, , 34, 6, 1, 1
2020/6/6, 35, , 20, 5, 1, 1
2020/6/7, 29, , 24, 11, 1, 1
2020/6/8, 31, , 34, 13, 1, 1
2020/6/9, 38, , 32, 5, 1, 1
2020/6/10, 48, , 26, 6, 1, 1
2020/6/11, 45, , 36, 8, 1, 1
2020/6/12, 34, , 27, 5, 1, 1
2020/6/13, 20, , 17, 3, 1, 
2020/6/14, 27, , 17, 3, 1, 1
2020/6/15, 28, , 24, 10, 1, 1
2020/6/16, 39, , 29, 12, 1, 2
2020/6/17, 44, , 25, 6, 1, 1
2020/6/18, 23, , 30, 5, 1, 
2020/6/19, 22, , 39, 5, 1, 1
2020/6/20, 35, , 41, 6, 1, 2
2020/6/21, 49, , 19, 4, , 1
2020/6/22, 18, , 38, 7, 1, 1
2020/6/23, 37, , 35, 11, 1, 1
2020/6/24, 44, , 40, 11, 1, 1
2020/6/25, 33, , 45, 11, 1, 1
2020/6/26, 47, , 39, 8, 1, 1
2020/6/27, 39, , 33, 6, 1, 1
2020/6/28, 32, , 28, 12, 1, 2
2020/6/29, 23, , 26, 7, 1, 1
2020/6/30, 23, , 25, 10, 1, 1
2020/1/2, 21, , 21, 18, 1, 2
2020/1/3, 32, , 15, 23, 1, 4
2020/1/4, 41, , 16, 20, 1, 4
2020/1/5, 45, , 23, 7, 1, 1
2020/1/6, 18, , 14, 20, 1, 3
2020/1/7, 34, , 21, 21, 1, 2
2020/1/8, 31, , 23, 16, 1, 2
2020/1/9, 39, , 19, 16, 1, 2
2020/1/10, 30, , 21, 20, 1, 2
2020/1/11, 40, , 31, 7, 1, 1
2020/1/12, 25, , 27, 4, 1, 1
2020/1/13, 18, , 18, 11, 1, 2
2020/1/14, 33, , 10, 14, 1, 3
2020/1/15, 42, , 17, 19, 1, 3
2020/1/16, 40, , 20, 16, 1, 3
2020/1/17, 30, , 28, 14, 1, 1
2020/1/18, 29, , 23, 17, 1, 2
2020/1/19, 31, , 22, 19, 1, 3
2020/1/20, 40, , 26, 17, 1, 2
2020/1/21, 30, , 24, 25, 1, 3
2020/1/22, 40, , 21, 35, 1, 5
2020/1/23, 56, , 20, 34, 1, 5
2020/1/24, 59, , 18, 29, 1, 5
2020/1/25, 62, , 27, 8, 1, 2
2020/1/26, 25, , 23, 8, 1, 2
2020/1/27, 15, , 14, 12, 1, 2
2020/1/28, 25, , 27, 14, 1, 1
2020/1/29, 17, , 27, 16, 1, 1
2020/1/30, 23, , 20, 23, 1, 2
2020/1/31, 35, , 26, 26, 1, 3
2020/2/1, 45, , 18, 24, 1, 3
2020/2/2, 46, , 18, 17, 1, 3
2020/2/3, 53, , 18, 23, 1, 4
2020/2/4, 45, , 10, 30, 1, 6
2020/2/5, 49, , 20, 22, 1, 2
2020/2/6, 35, , 18, 16, , 2
2020/2/7, 24, , 23, 16, , 2
2020/2/8, 17, , 27, 7, , 1
2020/2/9, 29, , 24, 15, , 2
2020/2/10, 36, , 26, 16, , 2
2020/2/11, 38, , 3, 22, , 4
2020/2/12, 47, , 26, 16, , 2
2020/2/13, 37, , 14, 29, , 4
2020/2/14, 40, , 27, 14, , 2
2020/2/15, 27, , 26, 14, , 2
2020/2/16, 34, , 25, 15, , 2
2020/2/17, 39, , 29, 18, , 2
2020/2/18, 43, , 23, 15, , 2
2020/2/19, 34, , 28, 12, , 1
2020/2/20, 25, , 26, 15, , 1
2020/2/21, 24, , 24, 19, , 2
2020/2/22, 34, , 31, 15, , 3
2020/2/23, 45, , 35, 18, , 4
2020/2/24, 50, , 36, 20, 1, 3
2020/2/25, 52, , 23, 22, 1, 3
2020/2/26, 50, , 29, 17, , 2
2020/2/27, 45, , 32, 7, , 2
2020/2/28, 18, , 30, 12, , 2
2020/2/29, 32, , 28, 16, , 3
2020/3/1, 33, , 26, 11, , 2
2020/3/2, 34, , 33, 25, , 4
2020/3/3, 45, , 33, 11, 1, 3
2020/3/4, 43, , 28, 9, 1, 2
2020/3/5, 30, , 27, 18, 1, 3
2020/3/6, 31, , 30, 20, 1, 5
2020/3/7, 42, , 32, 7, 1, 1
2020/3/8, 22, , 31, 15, 1, 3
2020/3/9, 32, , 37, 17, 1, 3
2020/3/10, 40, , 31, 13, 1, 2
2020/3/11, 44, , 27, 12, 1, 2
2020/3/12, 26, , 27, 11, 1, 2
2020/3/13, 33, , 30, 10, 1, 2
2020/3/14, 30, , 28, 7, 1, 2
2020/3/15, 27, , 35, 7, 1, 1
2020/3/16, 23, , 31, 7, 1, 1
2020/3/17, 27, , 25, 17, 1, 3
2020/3/18, 31, , 32, 12, 1, 2
2020/3/19, 28, , 27, 9, 1, 1
2020/3/20, 30, , 23, 13, 1, 2
2020/3/21, 33, , 31, 5, 1, 1
2020/3/22, 24, , 32, 5, 1, 1
2020/3/23, 31, , 29, 8, 1, 1
2020/3/24, 30, , 30, 11, , 1
2020/3/25, 22, , 29, 7, , 1
2020/3/26, 30, , 33, 9, , 1
2020/3/27, 33, , 33, 12, , 1
2020/3/28, 27, , 26, 13, , 2
2020/3/29, 36, , 20, , , 1
2019/10/1, 35, , 21, 12, 1, 1
2019/10/2, 30, , 19, 5, , 1
2019/10/3, 25, , 22, 11, , 1
2019/10/4, 26, , 19, 11, , 2
2019/10/5, 33, , 24, 8, , 1
2019/10/6, 37, , 26, 8, , 1
2019/10/7, 23, , 16, 16, 1, 1
2019/10/8, 26, , 15, 7, , 1
2019/10/9, 35, , 18, 5, , 1
2019/10/10, 33, , 18, 4, , 
2019/10/11, 35, , 18, 7, 1, 2
2019/10/12, 28, , 19, 12, 1, 2
2019/10/13, 42, , 23, 13, 1, 2
2019/10/14, 45, , 22, 15, 1, 1
2019/10/15, 40, , 27, 11, 1, 2
2019/10/16, 43, , 28, 6, 1, 1
2019/10/17, 26, , 16, 9, , 1
2019/10/18, 24, , 21, 14, 1, 2
2019/10/19, 37, , 15, 17, 1, 4
2019/10/20, 55, , 20, 15, 1, 1
2019/10/21, 38, , 16, 13, 1, 1
2019/10/22, 39, , 23, 14, , 2
2019/10/23, 32, , 28, 17, 1, 2
2019/10/24, 41, , 16, 23, 1, 2
2019/10/25, 47, , 21, 11, 1, 2
2019/10/26, 40, , 22, 7, , 1
2019/10/28, 34, , 18, 10, , 1
2019/10/29, 28, , 18, 11, 1, 1
2019/10/30, 27, , 11, 18, 1, 56
2019/10/31, 39, , 28, 7, , 35
2019/11/1, 30, , 27, 7, , 1
2019/11/2, 27, , 18, 14, 1, 2
2019/11/3, 38, , 22, 13, 1, 2
2019/11/4, 48, , 22, 18, 1, 2
2019/11/5, 43, , 13, 23, 1, 3
2019/11/6, 45, , 23, 19, 1, 2
2019/11/7, 42, , 18, 22, 1, 2
2019/11/8, 48, , 19, 11, , 1
2019/11/9, 21, , 18, 15, 1, 2
2019/11/10, 38, , 23, 19, 1, 2
2019/11/11, 50, , 12, 21, 1, 3
2019/11/12, 61, , 20, 15, 1, 2
2019/11/13, 38, , 20, 12, 1, 1
2019/11/14, 28, , 15, 25, 1, 3
2019/11/15, 46, , 22, 22, 1, 3
2019/11/16, 51, , 24, 12, , 1
2019/11/17, 29, , 21, 12, , 1
2019/11/18, 39, , 17, 13, , 1
2019/11/19, 35, , 13, 20, 1, 2
2019/11/20, 41, , 16, 16, , 1
2019/11/21, 33, , 14, 21, 1, 3
2019/11/22, 47, , 17, 14, 1, 2
2019/11/23, 47, , 24, 15, 1, 2
2019/11/24, 33, , 23, 14, 1, 2
2019/11/25, 41, , 18, 17, 1, 2
2019/11/26, 56, , 21, 23, 1, 4
2019/11/27, 66, , 19, 27, 1, 7
2019/11/28, 64, , 20, 6, 1, 1
2019/11/29, 28, , 21, 9, , 1
2019/11/30, 25, , 27, 9, 1, 1
2019/12/1, 28, , 27, 19, 1, 2
2019/12/2, 45, , 29, 8, , 1
2019/12/3, 28, , 25, 17, 1, 2
2019/12/4, 32, , 17, 26, 1, 3
2019/12/5, 45, , 17, 18, 1, 2
2019/12/6, 46, , 10, 21, 1, 3
2019/12/7, 41, , 20, 13, 1, 2
2019/12/8, 39, , 23, 21, 1, 3
2019/12/9, 46, , 29, 17, 1, 2
2019/12/10, 36, , 23, 11, 1, 2
2019/12/11, 42, , 18, 19, , 2
2019/12/12, 32, , 20, 23, , 3
2019/12/13, 47, , 11, 28, 1, 3
2019/12/14, 40, , 22, 15, 1, 3
2019/12/15, 14, , 25, 4, 1, 1
2019/12/16, 19, , 23, 17, 1, 2
2019/12/17, 29, , 17, 25, 1, 2
2019/12/18, 30, , 21, 19, 1, 2
2019/12/19, 27, , 20, 13, 1, 1
2019/12/20, 31, , 21, 18, 1, 2
2019/12/21, 37, , 12, 27, 1, 3
2019/12/22, 46, , 14, 21, 1, 3
2019/12/23, 69, , 25, 25, , 4
2019/12/24, 55, , 22, 17, , 2
2019/12/25, 29, , 15, 23, 2, 4
2019/12/26, 46, , 20, 21, 1, 4
2019/12/27, 49, , 22, 19, , 2
2019/12/28, 37, , 19, 12, 1, 2
2019/12/29, 28, , 19, 14, 1, 2
2019/12/30, 32, , , , , 
2019/7/1, 34, , 29, 12, , 2
2019/7/2, 35, , 55, 13, 1, 2
2019/7/3, 56, , 32, 9, 1, 2
2019/7/4, 69, , 43, 9, , 2
2019/7/5, 62, , 35, 5, , 1
2019/7/6, 38, , 20, 8, 1, 1
2019/7/7, 28, , 29, 10, 1, 1
2019/7/8, 34, , 30, 15, , 2
2019/7/9, 41, , 41, 17, 1, 2
2019/7/10, 59, , 43, 13, , 2
2019/7/11, 58, , 29, 14, 1, 1
2019/7/12, 31, , 31, 8, , 2
2019/7/13, 41, , 32, 6, , 1
2019/7/14, 41, , 23, 8, , 1
2019/7/15, 24, , 52, 13, 1, 2
2019/7/16, 40, , 37, 9, 1, 2
2019/7/17, 46, , 14, 10, 1, 1
2019/7/18, 21, , 57, 13, 1, 2
2019/7/19, 38, , 35, 5, , 2
2019/7/20, 50, , 35, 6, , 1
2019/7/21, 28, , 20, 11, 1, 1
2019/7/22, 43, , 24, 6, , 1
2019/7/23, 22, , 28, 12, , 2
2019/7/24, 36, , 24, 9, , 1
2019/7/25, 37, , 34, 12, 1, 2
2019/7/26, 48, , 36, 7, 1, 1
2019/7/27, 37, , 45, 6, , 2
2019/7/28, 44, , 44, 12, , 2
2019/7/29, 58, , 49, 13, , 2
2019/7/30, 67, , 44, 14, , 3
2019/7/31, 52, , 27, 12, , 1
2019/8/1, 35, , 43, 14, 1, 1
2019/8/2, 36, , 35, 8, , 1
2019/8/3, 40, , 32, 8, 1, 1
2019/8/4, 39, , 36, 9, , 1
2019/8/5, 27, , 27, 11, , 2
2019/8/6, 42, , 36, 10, , 1
2019/8/7, 35, , 43, 11, , 1
2019/8/8, 28, , 28, 11, , 1
2019/8/9, 29, , 20, 6, , 1
2019/8/10, 23, , 16, 4, , 1
2019/8/11, 17, , 40, 11, , 1
2019/8/12, 38, , 31, 10, , 2
2019/8/13, 44, , 25, 7, 1, 2
2019/8/14, 42, , 26, 9, , 1
2019/8/15, 33, , 22, 10, , 2
2019/8/16, 29, , 18, 7, , 2
2019/8/17, 24, , 32, 11, , 2
2019/8/18, 38, , 37, 10, , 1
2019/8/19, 40, , 34, 15, , 2
2019/8/20, 42, , 34, 15, , 2
2019/8/21, 43, , 37, 11, , 1
2019/8/22, 38, , 21, 12, , 1
2019/8/23, 29, , 13, 5, , 1
2019/8/24, 24, , 22, 4, , 1
2019/8/25, 22, , 23, 7, , 1
2019/8/26, 29, , 28, 13, 1, 2
2019/8/27, 36, , 19, 12, , 1
2019/8/28, 22, , 33, 12, , 1
2019/8/29, 22, , 51, 13, 1, 1
2019/8/30, 40, , 27, 9, , 1
2019/8/31, 25, , 15, 5, , 1
2019/9/1, 25, , 21, 6, , 1
2019/9/2, 28, , 23, 10, , 2
2019/9/3, 29, , 36, 12, , 1
2019/9/4, 33, , 23, 8, , 1
2019/9/5, 21, , 19, 15, 1, 2
2019/9/6, 33, , 18, 4, , 1
2019/9/7, 21, , 19, 5, , 1
2019/9/8, 26, , 20, 9, 1, 1
2019/9/9, 31, , 19, 9, 1, 2
2019/9/10, 31, , 39, 10, , 1
2019/9/11, 43, , 22, 10, , 1
2019/9/12, 28, , 19, 6, 1, 1
2019/9/13, 26, , 21, 9, , 2
2019/9/14, 33, , 29, 6, , 1
2019/9/15, 21, , 22, 12, 1, 1
2019/9/16, 22, , 14, 9, , 1
2019/9/17, 29, , 21, 6, , 1
2019/9/18, 23, , 21, 14, 1, 2
2019/9/19, 32, , 30, 17, , 3
2019/9/20, 39, , 33, 15, , 3
2019/9/21, 46, , 48, 10, 1, 2
2019/9/22, 46, , 40, 10, 1, 1
2019/9/23, 54, , 23, 10, , 1
2019/9/24, 25, , 18, 10, 1, 1
2019/9/25, 25, , 39, 16, 1, 2
2019/9/26, 41, , 30, 14, , 1
2019/9/27, 35, , 37, 9, , 1
2019/9/28, 38, , 22, 7, , 1
2019/9/29, 26, , 17, 6, , 1
2019/9/30, 30, , 25, 11, , 1
2019/4/1, 30, , 36, 20, 1, 2
2019/4/2, 41, , 39, 11, , 1
2019/4/3, 30, , 34, 11, , 1
2019/4/4, 33, , 30, 14, , 2
2019/4/5, 34, , 22, 15, , 2
2019/4/6, 36, , , 14, , 2
2019/4/7, 45, , 26, 15, , 1
2019/4/8, 36, , 26, 10, , 1
2019/4/9, 28, , 27, 13, , 1
2019/4/10, 31, , 34, 17, , 2
2019/4/11, 39, , 34, 19, , 2
2019/4/12, 44, , 36, 9, , 2
2019/4/13, 35, , 36, 14, 1, 2
2019/4/14, 44, , 39, 14, 1, 1
2019/4/15, 22, , 29, 9, , 1
2019/4/16, 23, , 36, 15, , 1
2019/4/17, 30, , 33, 18, , 1
2019/4/18, 33, , 36, 7, , 1
2019/4/19, 37, , 31, 4, , 1
2019/4/20, 32, , 34, 6, , 1
2019/4/21, 19, , 29, 13, 1, 2
2019/4/22, 25, , 23, 8, , 1
2019/4/23, 19, , 29, 13, , 1
2019/4/24, 28, , 25, 10, , 1
2019/4/25, 23, , 20, 10, , 1
2019/4/26, 26, , 30, 8, 1, 1
2019/4/27, 20, , 32, 8, , 1
2019/4/28, 32, , 34, 15, , 2
2019/4/29, 30, , 29, 17, 1, 2
2019/4/30, 29, , 30, 21, 1, 2
2019/5/1, 39, , 30, 15, 1, 3
2019/5/2, 34, , 28, 12, 1, 2
2019/5/3, 39, , 27, 14, 1, 2
2019/5/4, 32, , 26, 13, 1, 1
2019/5/5, 23, , 29, 9, 1, 1
2019/5/6, 24, , 42, 29, 1, 2
2019/5/7, 38, , 30, 30, 1, 2
2019/5/8, 35, , 32, 8, 1, 1
2019/5/9, 34, , 30, 13, 1, 1
2019/5/10, 37, , 31, 7, 1, 1
2019/5/11, 21, , 28, 7, 1, 1
2019/5/12, 22, , 24, 8, 1, 1
2019/5/13, 29, , 24, 9, 1, 1
2019/5/14, 22, , 23, 17, 1, 2
2019/5/15, 32, , 30, 19, 1, 3
2019/5/16, 34, , 24, 26, 1, 4
2019/5/17, 61, , 32, 8, 1, 1
2019/5/18, 27, , 33, 6, 1, 1
2019/5/19, 33, , 38, 10, 1, 1
2019/5/20, 42, , 27, 8, , 1
2019/5/21, 18, , 27, 10, , 1
2019/5/22, 21, , 31, 10, , 1
2019/5/23, 30, , 29, 8, , 1
2019/5/24, 23, , 31, 7, , 1
2019/5/25, 26, , 38, 5, , 1
2019/5/26, 28, , 26, 10, 1, 1
2019/5/27, 29, , 23, 8, , 1
2019/5/28, 28, , 25, 8, , 1
2019/5/29, 19, , 22, 11, , 2
2019/5/30, 23, , 23, 11, , 2
2019/5/31, 28, , 28, 10, , 2
2019/6/1, 42, , 25, 9, , 1
2019/6/2, 19, , 28, 10, , 1
2019/6/3, 24, , 33, 11, , 1
2019/6/4, 29, , 49, 12, , 1
2019/6/5, 48, , 30, 8, 1, 1
2019/6/6, 39, , 31, 11, , 1
2019/6/7, 30, , 30, 8, , 1
2019/6/8, 28, , 39, 8, , 1
2019/6/9, 26, , 30, 10, 1, 1
2019/6/10, 29, , 28, 9, , 1
2019/6/11, 12, , 31, 9, , 1
2019/6/12, 24, , 28, 9, , 1
2019/6/13, 19, , 33, 9, , 1
2019/6/14, 21, , 41, 7, , 1
2019/6/15, 31, , 34, 9, , 1
2019/6/16, 42, , 27, 9, , 2
2019/6/17, 32, , 16, 20, 1, 3
2019/6/18, 51, , 30, 14, 1, 2
2019/6/19, 36, , 22, 10, 1, 2
2019/6/20, 17, , 18, 11, , 1
2019/6/21, 23, , 22, 9, , 1
2019/6/22, 27, , 25, 6, , 1
2019/6/23, 30, , 33, 13, 1, 1
2019/6/24, 44, , 28, 12, , 2
2019/6/25, 44, , 26, 10, 1, 1
2019/6/26, 24, , 26, 16, 1, 2
2019/6/27, 33, , 48, 16, 1, 3
2019/6/28, 49, , 41, 13, , 3
2019/6/29, 50, , 26, 6, , 1
2019/6/30, 25, , 25, 10, , 1
2019/1/2, 28, , 22, 17, 1, 2
2019/1/3, 38, , 15, 17, 1, 2
2019/1/4, 39, , 17, 18, 1, 3
2019/1/5, 51, , 11, 19, 1, 4
2019/1/6, 63, , 27, 10, 1, 2
2019/1/7, 41, , 25, 19, 1, 2
2019/1/8, 38, , 14, 26, 1, 3
2019/1/9, 45, , 19, 14, 1, 3
2019/1/10, 36, , 21, 11, , 1
2019/1/11, 32, , 26, 12, , 1
2019/1/12, 35, , 25, 11, , 1
2019/1/13, 36, , 22, 13, 1, 2
2019/1/14, 39, , 17, 25, 1, 3
2019/1/15, 53, , 22, 24, 1, 3
2019/1/16, 42, , 21, 21, 1, 3
2019/1/17, 56, , 23, 19, , 2
2019/1/18, 42, , 17, 22, , 3
2019/1/19, 50, , 22, 13, , 1
2019/1/20, 43, , 23, 13, , 1
2019/1/21, 32, , 23, 10, , 1
2019/1/22, 45, , 21, 13, , 1
2019/1/23, 48, , , , , 
2019/1/29, 49, , 26, 16, 1, 2
2019/1/30, 44, , 27, 16, 1, 2
2019/1/31, 47, , 25, 14, 1, 2
2019/2/1, 53, , 22, 17, 1, 2
2019/2/2, 59, , 27, 19, 1, 3
2019/2/3, 68, , 19, 20, 1, 3
2019/2/4, 74, , 26, 22, 1, 3
2019/2/5, 75, , 26, 18, 1, 3
2019/2/6, 54, , 23, 10, 1, 1
2019/2/7, 42, , 18, 15, , 1
2019/2/8, 38, , 21, 15, 1, 2
2019/2/9, 30, , 28, 8, , 1
2019/2/10, 35, , 29, 10, , 2
2019/2/11, 33, , 27, 15, , 1
2019/2/12, 31, , 25, 17, 1, 2
2019/2/13, 35, , 25, 18, 1, 2
2019/2/14, 29, , 28, 19, 1, 3
2019/2/15, 41, , 29, 20, 1, 3
2019/2/16, 52, , 26, 12, 1, 1
2019/2/17, 43, , 29, 10, 1, 1
2019/2/18, 39, , 28, 17, , 1
2019/2/19, 41, , 28, 17, 1, 1
2019/2/20, 43, , 23, 23, 1, 2
2019/2/21, 49, , 23, 20, 1, 2
2019/2/22, 43, , 31, 16, , 2
2019/2/23, 43, , 26, 20, 1, 2
2019/2/24, 48, , 30, 10, 1, 2
2019/2/25, 32, , 31, 8, 1, 1
2019/2/26, 27, , 28, 11, , 1
2019/2/27, 37, , 26, 17, 1, 2
2019/2/28, 38, , 27, 26, 1, 2
2019/3/1, 52, , 29, 28, 1, 3
2019/3/2, 52, , 28, 19, , 2
2019/3/3, 42, , 31, 18, 1, 2
2019/3/4, 53, , 31, 20, , 2
2019/3/5, 39, , 30, 24, 1, 2
2019/3/6, 56, , 30, 18, 1, 2
2019/3/7, 49, , 28, 19, 1, 2
2019/3/8, 46, , 33, 27, 1, 2
2019/3/9, 52, , 37, 23, 1, 3
2019/3/10, 61, , 33, 21, 1, 3
2019/3/11, 46, , 36, 17, 1, 2
2019/3/12, 41, , 32, 14, , 1
2019/3/13, 37, , 27, 20, 1, 2
2019/3/14, 43, , 33, 23, 1, 2
2019/3/15, 44, , 35, 14, , 1
2019/3/16, 46, , 32, 7, , 1
2019/3/17, 28, , 32, 7, , 1
2019/3/18, 27, , 33, 19, , 2
2019/3/19, 33, , 32, 25, 1, 2
2019/3/20, 43, , 35, 23, 1, 3
2019/3/21, 48, , 37, 17, , 1
2019/3/22, 37, , 33, 11, , 1
2019/3/23, 24, , 31, 7, , 1
2019/3/24, 23, , 41, 11, 1, 1
2019/3/25, 35, , 34, 17, , 1
2019/3/26, 34, , 35, 13, , 1
2019/3/27, 36, , 34, 13, , 2
2019/3/28, 34, , 35, 16, , 2
2019/3/29, 42, , 29, 21, , 2
2019/3/30, 42, , 37, 12, 1, 2
2019/3/31, 31, , 37, 5, , 1
2018/10/1, 44, , 11, 16, 1, 2
2018/10/2, 36, , 10, 12, 1, 2
2018/10/3, 35, , 26, 12, 1, 3
2018/10/4, 43, , 17, 9, 1, 2
2018/10/5, 30, , 23, 14, 1, 2
2018/10/6, 48, , 20, 6, 1, 2
2018/10/7, 33, , 13, 8, 1, 1
2018/10/8, 33, , 23, 11, 1, 3
2018/10/9, 38, , 27, 11, 1, 3
2018/10/10, 34, , 8, 13, 1, 2
2018/10/11, 41, , 12, 11, 1, 2
2018/10/12, 24, , 18, 12, 1, 2
2018/10/13, 38, , 25, 12, 1, 3
2018/10/14, 46, , 24, 22, 1, 4
2018/10/15, 58, , 22, 12, 1, 2
2018/10/16, 31, , 24, 13, 1, 2
2018/10/17, 49, , 20, 13, 1, 1
2018/10/18, 41, , 25, 19, 1, 2
2018/10/19, 48, , 29, 11, 1, 2
2018/10/20, 37, , 21, 11, 1, 1
2018/10/21, 35, , 21, 21, 1, 2
2018/10/22, 49, , 20, 21, 1, 3
2018/10/23, 54, , 15, 15, , 2
2018/10/24, 41, , 21, 15, 1, 2
2018/10/25, 49, , 23, 18, 1, 3
2018/10/26, 46, , 26, 7, 1, 1
2018/10/27, 39, , 17, 9, 1, 2
2018/10/29, 27, , 12, 13, 1, 2
2018/10/30, 42, , 15, 14, , 2
2018/10/31, 41, , 28, 21, , 4
2018/11/1, 55, , 18, 20, , 3
2018/11/2, 64, , 25, 13, , 2
2018/11/3, 47, , 19, 8, , 1
2018/11/4, 24, , 20, 9, , 1
2018/11/5, 42, , 17, 12, , 1
2018/11/6, 39, , 18, 16, , 2
2018/11/7, 35, , 21, 15, , 2
2018/11/8, 38, , 14, 13, , 2
2018/11/9, 44, , 16, 16, 1, 2
2018/11/10, 49, , 23, 9, , 1
2018/11/11, 31, , 25, 8, , 1
2018/11/12, 40, , 19, 26, 1, 3
2018/11/13, 54, , 20, 17, , 2
2018/11/14, 36, , 25, 13, , 1
2018/11/15, 40, , 23, 24, 1, 2
2018/11/16, 53, , 24, 13, , 2
2018/11/17, 35, , 19, 12, , 2
2018/11/18, 52, , 18, 11, , 2
2018/11/19, 47, , 6, 24, 1, 4
2018/11/20, 64, , 13, 19, , 2
2018/11/21, 45, , 23, 18, , 2
2018/11/22, 47, , 23, 7, , 1
2018/11/23, 43, , 22, 16, , 2
2018/11/24, 49, , 23, 19, , 3
2018/11/25, 56, , 23, 21, , 3
2018/11/26, 53, , 28, 19, , 2
2018/11/27, 51, , 23, 16, , 2
2018/11/28, 25, , 12, 13, , 2
2018/11/29, 25, , 18, 12, , 1
2018/11/30, 23, , 14, 21, 1, 3
2018/12/1, 39, , 17, 17, , 2
2018/12/2, 46, , 24, 15, , 3
2018/12/3, 41, , 13, 18, , 3
2018/12/4, 47, , 23, 13, , 1
2018/12/5, 27, , 20, 22, 1, 2
2018/12/6, 44, , 19, 21, , 3
2018/12/7, 48, , 22, 14, , 2
2018/12/8, 53, , 25, 12, , 2
2018/12/9, 36, , 22, 22, 1, 3
2018/12/10, 60, , 22, 23, 1, 2
2018/12/11, 57, , 14, 30, 1, 4
2018/12/12, 59, , 24, 21, 1, 2
2018/12/13, 59, , 17, 25, 1, 3
2018/12/14, 57, , 18, 35, 1, 5
2018/12/15, 58, , 19, 15, , 2
2018/12/16, 42, , 21, 7, , 1
2018/12/17, 39, , 19, 16, , 2
2018/12/18, 36, , 20, 11, , 1
2018/12/19, 34, , 17, 24, 1, 3
2018/12/20, 48, , 12, 29, 1, 4
2018/12/21, 76, , 29, 20, 1, 2
2018/12/22, 37, , 31, 6, , 1
2018/12/23, 36, , 24, 10, , 1
2018/12/24, 34, , 17, 22, 1, 3
2018/12/25, 55, , 27, 11, 1, 1
2018/12/26, 42, , 20, 18, , 2
2018/12/27, 43, , 22, 17, , 2
2018/12/28, 50, , 24, 16, 1, 2
2018/12/29, 37, , 21, 13, 1, 3
2018/12/30, 36, , 22, 15, , 2
2018/12/31, 43, , , , , 
2018/7/1, 67, , 43, 10, 1, 2
2018/7/2, 71, , 48, 11, 1, 3
2018/7/3, 79, , 39, 10, 1, 3
2018/7/4, 78, , 40, 10, 1, 2
2018/7/5, 69, , 24, 6, 1, 1
2018/7/6, 32, , 31, 6, 1, 1
2018/7/7, 37, , 33, 7, 1, 2
2018/7/8, 51, , 40, 11, 1, 2
2018/7/9, 52, , 60, 13, 1, 2
2018/7/10, 56, , 26, 9, 1, 1
2018/7/11, 51, , 24, 11, 1, 1
2018/7/12, 49, , 35, 10, 1, 2
2018/7/13, 51, , 24, 6, 1, 2
2018/7/14, 45, , 35, 6, 1, 2
2018/7/15, 46, , 41, 14, 1, 2
2018/7/16, 43, , 40, 6, 1, 1
2018/7/17, 38, , 28, 5, 1, 1
2018/7/18, 30, , 34, 9, 1, 1
2018/7/19, 33, , 39, 8, 1, 1
2018/7/20, 39, , 27, 5, 1, 1
2018/7/21, 31, , 26, 3, 1, 
